student_utterance,previous_5_utterances,subsequent_5_utterances,filename,student_tag
"The uh, the H, seven H and then the four- where do you get the four W's to-","[T] Okay, so seven point five H, right?
[S] Yeah.
[T] Okay. Brandon?
[S] I don't- I didn't get it.
[T] Which part?","[T] That's just an example. That's just another example of a variable expression. Okay?
[T] Okay. Another example. You're going to an Eagles game.
[S] Oh.
[T] Tim? I used Phillies in my other classes but for you Tim, I used Eagles.
[S] First the Raiders.",Math US2 transcript.xlsx,3 - Asking for More Information
No.,"[T] It looks bigger.
[S] Really big.
[T] Looks bigger. Discuss in your groups, go on.
[S] Okay, go to zero, please. MIssy, explain to me why his book worked? It worked because he doubled the X coordinates and Y coordinates.
[T] Did he double?","[S] Second guesses.
[T] I'm going to ask you to phone a friend in your group to help you continue explaining.
[S] He timesed it by six to make it bigger both ways instead of it being taller because he started going too taller, but then it's a normal-sized book because he timesed it by six.
[T] Right, so he said if he did that, his book would only be taller. Because he did both, it made it taller and--?
[S] Wider.",TalkBack.Year1.Strathom.Fall.121119.xlsx,2 - Relating to Another Student
"One, five -","[T] Okay. So we're going to play a couple of rounds together and then we'll figure things out. All right? Okay. Now we're going to play blue.
[S] Let's play multiplication wrestling. Here we go. Use the numbers to find two, two digit numbers that will get the highest possible product when multiplied.
[T] If you look at the top ... .
[S] ... two digit numbers.
[T] If you look at the top of your sheet, it says cards and it gives you four blank spots. Do you see that? These are our cards. We've got one, five, three, and nine. In those four spots I want you to write the numbers: one five, three, and nine.","[S] Three and nine.
[T] They're up here. Now what we need to do is we need to rearrange these cards to make two numbers. We're really making our team. We could say 15 times 39, or we could arrange those cards to make other numbers.
[S] I've got an idea.
[T] Okay, James what's your idea?
[S] 91 and 53.",TalkBack.Year2.Smith.Fall.111020.xlsx,4 - Making a Claim
"Oh, divided by nine. Yeah, why is it nine?","[T] Let's take our next one. We're going to do the last two together, and then you're going to get to work at your own pace. Our next problem is 1/5 of a block of cheese, so I'm going to pull a stick here. What's up, Deborah?
[S] I've got two. I didn't realize I had two.
[T] Okay. You can hand to it, or just put it on the counter. Let's do our next one together. This one says 1/5 of a block of cheese. , I'm going to have you help start me on this one. What is my division sentence for this one
[S] Would it be 1/5 divided by 2/3?
[T] This one right here, we're going to start off with nine blocks of cheese. How does that change your sentence.","[T] Because at that top here, ""Nyla plans to make small cheese pizzas to sell at the school carnival. She has nine blocks of cheese.
[S] No. I thought we were doing the one under it.
[T] Yeah, we're doing this one right here. We have 1/5 of a block.
[S] Okay.
[T] What would your number sentence be?",TalkBack.Year2.Davies.Spring.031021-2.xlsx,3 - Asking for More Information
"Ok, what would be the thirds. Thirds would easily be the  oranges. One two three.","[S] No, we're trying to…
[S] Three oranges. Alan Erik, use the yellows. Think big.
[T] A suggestion I have, Alan and Erik, if you can find another  table who's solving the same problem then maybe you can  combine
[S] Well, we need a lot more Cuisenaire Rods. Well, let's work  with three and then we'll do four.
[S] Right.","[T] Well, just build your big model and we could use Meredith  and David's smaller model. And then you could come  together to put all your models together.
[S] And then show them on the overhead?
[T] Yes.
[S] Ok.
[T] So work on the big model. See what you can do.",Maher_Equivalence 1_Grade 4.xlsx,3 - Asking for More Information
Get rid of that one there.,"[S] You're a lot farther on that than I am.
[S] You have to put a parenthesis around that whole thing, too. 
[S] Later on that.
[S] Then times.
[S] No, you got to, at the beginning of that and the end of this thing.","[S] Don't we have to close that in, though?
[S] No, you don't have to close that.
[S] Oh. 
[S] All right. 
[S] So do I have to delete that other one?",Video Mosiac 11th grade Pascal 1.xlsx,2 - Relating to Another Student
I bet I can. Oranges,"[S] I know something, alright? Alan Impossible. That’d just like one dark green. David Can I um do something?
[S] Hold on, let me do something [start fighting over rods] Could I have  the blue
[S] Erik! You can't third that big orange model.
[S] You want to make a bet? I bet I can.
[S] You can't","[S] Because if you use more. Using oranges, if you use three oranges,  you won't be able to third it. You won't be able to third it!
[S] This is what I was thinking. One, two three. Oh contraire… It needs  to be, let's see, how much smaller?
[S] Look you can't third it, you fourthed it but you can't third it.
[S] Ok, let's see, four one two, easily how you can do it.
[S] Third it then.",Video Mosaic Grade 4 Building large models 3.xlsx,2 - Relating to Another Student
Yeah.,"[S] 35, and then I have 42.
[S] I don't, whatever. I said , and I said, ""I know because eight-fourths is almost a whole, and if you added one-fourth, it would be""-
[S] Eight-ninths.
[S] Eight-ninths is if you added one-fourth, it'd be greater than nine.
[S] Yeah. That's correct. That's what I put. I know eight nines is almost a whole . If you add anything to it, it will be greater than a whole.","[S] And then for that one, it's like what you can make.
[S] Is that all?
[S] Yeah.
[S] Okay, and then I did 10, eight, and 10-
[S] I did that one once.",TalkBack.Year2.Strathom.Spring.030221.xlsx,2 - Relating to Another Student
one times 11 for sure.,"[T] I don't know if you said something.
[S] I don't think so.
[T] You are exactly right. Janessa, there are no more factor pairs for five because two is not a factor of five. For six. Nope. Three is not a factor pair for five, or is that a factor of five? Because three, six goes right over it. 4 is not a factor because I go fou,r eight. And then I have five. Okay, all right. Now, Janessa already started us off with 10 by saying two times five. So who can tell me, Ah, Rachel. Rachel in the same room. Rachel, tell me what is the other or what are other factor pairs for 10?
[S] One times 10.
[T] Brilliant. One times 10. And for the sake of time, I'm going to tell you guys right now that there are no more factors or factor pairs for 10. What about 11? pull a stick, Angela tell me about the factor pairs for 11.","[T] Angela, Are there any more factor pairs for 11
[S] I don't think so.
[T] Well you're right now, could I double check each number to make sure?
[S] Yes,
[T] yeah. But for the second time, we're gonna say no, there's not. All right. And last, but certainly not least, we have 15. 15. factor pairs for 15 Harper. Harper, can you help me out?",TalkBack.Year2.Cornish.Fall.111920-1.xlsx,4 - Making a Claim
Why did you do it ?,"[T] No, that's not a question. Not about why she chose to do it this way but about what she did. Piper?
[S] I thought the cos² θ would be positive, not negative because if it were 1- cos² θ then it would be .
[T] Why is that not turn into a negative cos² θ, is that what you're asking?
[S] Have you thought about the other way in  sin² θ? 1 − cos² θ would be 1- cos² θ.
[T] You should have an identity on your sheet that says cos² θ = 1 − sin² θ .","[T] It shouldn't come out as a negative. Everything is right up here so far.
[S] Yes.
[T] Okay, keep going.
[S] Then what I did. This cos  ÷cos² θ and you're multiplying, they just cancel out. I'm just going to write this up here. Then you have left over here sin² θ =1 − cos² θ, which is true. .
[T] It's perfect. Here's the thing. There are probably as many ways to do this proof as there are groups of people in this class. You did do one thing that you didn't need to do. You could have just said that this θ x θ². If you just wanted to just not even have this at all and just do that. You have just turned this side into that side. That works.",TalkBack.Year1.Wolfram.Spring.021920.xlsx,3 - Asking for More Information
